gene,sig,sig_cell_types
FCGR1A,1,['Macrophages']
DPT,1,['Macrophages']
PYGL,1,['Macrophages']
SCARB1,1,['Macrophages']
DNM1,1,['Macrophages']
PTX3,1,['Macrophages']
FCAR,1,['Macrophages']
SCIMP,1,['Macrophages']
FCER2,1,['Macrophages']
DNAJA1,1,['Macrophages']
FCGBP,1,['Macrophages']
SCN4B,1,['Macrophages']
SIGLEC9,1,['Macrophages']
FOXO3,1,['Macrophages']
FPR2,1,['Macrophages']
GPRC5B,1,['Macrophages']
PLIN4,1,['Macrophages']
CNRIP1,1,['Macrophages']
SNX17,1,['Macrophages']
PLEKHB2,1,['Macrophages']
SNX29,1,['Macrophages']
PLEC,1,['Macrophages']
PLAUR,1,['Macrophages']
PLA2G7,1,['Macrophages']
CLIC6,1,['Macrophages']
CLIC4,1,['Macrophages']
GPR34,1,['Macrophages']
PIM1,1,['Macrophages']
COCH,1,['Macrophages']
GRB2,1,['Macrophages']
GREM1,1,['Macrophages']
CKAP4,1,['Macrophages']
PIK3CG,1,['Macrophages']
PID1,1,['Macrophages']
SPTBN1,1,['Macrophages']
SQSTM1,1,['Macrophages']
PGK1,1,['Macrophages']
PGD,1,['Macrophages']
CFP,1,['Macrophages']
PGA3,1,['Macrophages']
PLTP,1,['Macrophages']
PLXDC1,1,['Macrophages']
CYBA,1,['Macrophages']
GAS6,1,['Macrophages']
SLC18A2,1,['Mast cells']
CXCL13,1,['Macrophages']
FYN,1,['Macrophages']
PRKACA,1,['Macrophages']
GABBR1,1,['Macrophages']
CTSC,1,['Macrophages']
CTNNA1,1,['Macrophages']
CTDSPL,1,['Macrophages']
SLC2A3,1,['Macrophages']
PPP1CA,1,['Macrophages']
PPIF,1,['Macrophages']
CSK,1,['Macrophages']
PNP,1,['Macrophages']
CSF1R,1,['Macrophages']
GCH1,1,['Macrophages']
CRY2,1,['Macrophages']
SLITRK4,1,['Macrophages']
CR1,1,['Macrophages']
CPVL,1,['CLEC10A+ DCs']
CPT1A,1,['Macrophages']
GIMAP5,1,['CD4+ T cells']
GJA1,1,['Macrophages']
GLA,1,['Macrophages']
PNPLA6,1,['Macrophages']
AQP9,1,['Macrophages']
TAP2,1,['Macrophages']
ENG,1,['Macrophages']
VDR,1,['Macrophages']
AP2M1,1,['Macrophages']
USP5,1,['Macrophages']
ADAMTS1,1,['Macrophages']
APOL1,1,['Macrophages']
MIAT,1,['CD4+ T cells']
ALYREF,1,['Macrophages']
VEGFB,1,['Macrophages']
ANXA2,1,['Macrophages']
WWP1,1,['Macrophages']
LTBP2,1,['Macrophages']
ACLY,1,['Macrophages']
LGMN,1,['Macrophages']
LDLRAD4,1,['Macrophages']
LAMP1,1,['Macrophages']
MICAL2,1,['Macrophages']
WAS,1,['Macrophages']
WARS,1,['Macrophages']
ADAMTS5,1,['Macrophages']
VDAC1,1,['Macrophages']
MDM4,1,['Macrophages']
VCL,1,['Macrophages']
LOXL1,1,['Macrophages']
MAN1A1,1,['Macrophages']
MSN,1,['Macrophages']
ACP5,1,['Macrophages']
AP2A1,1,['Macrophages']
MSR1,1,['Macrophages']
VASP,1,['Macrophages']
ACE,1,['Macrophages']
YWHAZ,1,['Macrophages']
LILRA5,1,['Macrophages']
ALG13,1,['Macrophages']
MAFB,1,['Macrophages']
MAF,1,['Macrophages']
ADGRG6,1,['Macrophages']
ADGRE5,1,['Macrophages']
ACAP1,1,['Macrophages']
ADAM8,1,['Macrophages']
LILRB3,1,['Macrophages']
APOL6,1,['Macrophages']
LRRC59,1,['Macrophages']
LTA4H,1,['Macrophages']
LILRB5,1,['Macrophages']
ZNF469,1,['Macrophages']
AHR,1,['Macrophages']
