gene,sig,n_up,n_down,sig_cell_types
LPAR5,2,0,2,"['CD8+ T cells', 'CLEC9A+ DCs']"
PDE4B,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
LILRB3,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
VGLL3,2,2,0,"['Macrophages', 'Mast cells']"
SLC7A5,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
PGD,2,2,0,"['Langerhans', 'Macrophages']"
POSTN,2,2,0,"['Macrophages', 'Mast cells']"
PLXDC1,2,0,2,"['CD4+ T cells', 'Macrophages']"
PGK1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
CKAP4,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
LY9,2,0,2,"['CLEC10A+ DCs', 'Tregs']"
CTTN,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
HIPK2,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
HK1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
PDGFB,2,0,2,"['CD4+ T cells', 'Macrophages']"
NR4A3,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
CLDN7,2,0,2,"['CD4+ T cells', 'Macrophages']"
CTLA4,2,2,0,"['CD4+ T cells', 'Tregs']"
CLEC10A,2,0,2,"['CLEC10A+ DCs', 'CLEC9A+ DCs']"
CNRIP1,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
HRH1,2,0,2,"['CD4+ T cells', 'Macrophages']"
IL13,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
HRH2,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
STMN3,2,0,2,"['CD8+ T cells', 'Tregs']"
SLC2A3,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
PLAUR,2,1,1,"['CLEC9A+ DCs', 'Macrophages']"
SLC2A1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
TRIM47,2,0,2,"['CD8+ T cells', 'Macrophages']"
PPIF,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
DKK3,2,0,2,"['CD4+ T cells', 'Macrophages']"
CLIC6,2,2,0,"['Macrophages', 'Mast cells']"
PDGFC,2,0,2,"['CLEC10A+ DCs', 'Macrophages']"
COCH,2,0,2,"['Langerhans', 'Macrophages']"
PLA2G7,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
VDR,2,2,0,"['Macrophages', 'Tregs']"
LOXL1,2,0,2,"['CD4+ T cells', 'CD8+ T cells']"
LAG3,2,2,0,"['CD8+ T cells', 'Tregs']"
IL1RN,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
APOL1,2,2,0,"['CLEC10A+ DCs', 'Langerhans']"
LAD1,2,2,0,"['CLEC10A+ DCs', 'Macrophages']"
