gene,sig,n_up,n_down,sig_cell_types
OCRL,0,0,0,
OLIG1,0,0,0,
OLFML3,0,0,0,
PAH,0,0,0,
OLFM2,0,0,0,
OLFM1,0,0,0,
PAIP2,0,0,0,
OIT3,0,0,0,
OGT,0,0,0,
OGFR,0,0,0,
OGDH,0,0,0,
ODR4,0,0,0,
OPTN,0,0,0,
PACC1,0,0,0,
PABPC4,0,0,0,
ORAI3,0,0,0,
OXSR1,0,0,0,
P2RX3,0,0,0,
OXSM,0,0,0,
P2RX4,0,0,0,
OXER1,0,0,0,
P2RX7,0,0,0,
P2RY1,0,0,0,
P2RY12,0,0,0,
P2RY13,0,0,0,
OVOL2,0,0,0,
OTX2,0,0,0,
OTUB1,0,0,0,
P4HA1,0,0,0,
P4HA3,0,0,0,
OTOF,0,0,0,
OSM,0,0,0,
P4HTM,0,0,0,
OSGIN2,0,0,0,
OSGIN1,0,0,0,
OSCP1,0,0,0,
OSBP2,0,0,0,
PABPC1L,0,0,0,
ORC6,0,0,0,
ODF2L,0,0,0,
OCM2,0,0,0,
PAX3,0,0,0,
NUDCD1,0,0,0,
NUMB,0,0,0,
PAPPA2,0,0,0,
NUMA1,0,0,0,
NUDT21,0,0,0,
PARD3,0,0,0,
NUDT16L1,0,0,0,
PARK7,0,0,0,
PARM1,0,0,0,
NUDT1,0,0,0,
PARP1,0,0,0,
NUDCD2,0,0,0,
PARP11,0,0,0,
OCLN,0,0,0,
NUCB2,0,0,0,
PARP15,0,0,0,
PARP3,0,0,0,
PART1,0,0,0,
PASD1,0,0,0,
PAWR,0,0,0,
NUAK2,0,0,0,
NTSR2,0,0,0,
NTSR1,0,0,0,
PAX2,0,0,0,
NTS,0,0,0,
PANX3,0,0,0,
PANX2,0,0,0,
NUP107,0,0,0,
NUP153,0,0,0,
OBP2A,0,0,0,
PAK1,0,0,0,
PAK1IP1,0,0,0,
OAS3,0,0,0,
PAK2,0,0,0,
OAS1,0,0,0,
NYX,0,0,0,
PAK4,0,0,0,
NXT2,0,0,0,
PALB2,0,0,0,
NXPH4,0,0,0,
NXPH2,0,0,0,
NXN,0,0,0,
PALMD,0,0,0,
NXF1,0,0,0,
NVL,0,0,0,
NUTF2,0,0,0,
NUP98,0,0,0,
NUP93,0,0,0,
NUP62,0,0,0,
NUP214,0,0,0,
PANK2,0,0,0,
PANX1,0,0,0,
PENK,0,0,0,
PEPD,0,0,0,
POU2F1,0,0,0,
NHLH2,0,0,0,
NKX2-1,0,0,0,
NKRF,0,0,0,
NKAPL,0,0,0,
NKAPD1,0,0,0,
NIPSNAP3A,0,0,0,
NIPSNAP1,0,0,0,
PLVAP,0,0,0,
NINJ1,0,0,0,
NIN,0,0,0,
PLXNB2,0,0,0,
NIFK,0,0,0,
NGFR,0,0,0,
NKX2-4,0,0,0,
PM20D1,0,0,0,
PM20D2,0,0,0,
PMAIP1,0,0,0,
PMCH,0,0,0,
PMFBP1,0,0,0,
NGF,0,0,0,
PML,0,0,0,
PMM2,0,0,0,
NGDN,0,0,0,
PMS1,0,0,0,
PMS2,0,0,0,
NKX2-3,0,0,0,
NKX2-8,0,0,0,
NPSR1,0,0,0,
NLRP3,0,0,0,
PLEC,0,0,0,
PLEKHA1,0,0,0,
PLEKHA2,0,0,0,
PLEKHB2,0,0,0,
NMB,0,0,0,
NLRP9,0,0,0,
NLRP7,0,0,0,
NLRP5,0,0,0,
PLEKHM2,0,0,0,
PLEKHO1,0,0,0,
PLG,0,0,0,
NLRP2,0,0,0,
NKX3-1,0,0,0,
PLIN2,0,0,0,
NLRP11,0,0,0,
PLIN5,0,0,0,
PLK1,0,0,0,
PLK4,0,0,0,
PLN,0,0,0,
NLRP1,0,0,0,
NLRC5,0,0,0,
NLGN3,0,0,0,
NLE1,0,0,0,
PLS3,0,0,0,
PNMA1,0,0,0,
NGB,0,0,0,
PNMA2,0,0,0,
PON1,0,0,0,
NEXN,0,0,0,
POLR2C,0,0,0,
POLR2E,0,0,0,
POLR2G,0,0,0,
POLR2H,0,0,0,
POLR2M,0,0,0,
POMC,0,0,0,
POMGNT1,0,0,0,
POMT1,0,0,0,
NEUROG2,0,0,0,
NEUROD2,0,0,0,
NEUROD1,0,0,0,
PNOC,0,0,0,
POPDC3,0,0,0,
POR,0,0,0,
PORCN,0,0,0,
NEURL4,0,0,0,
POTEF,0,0,0,
POTEI,0,0,0,
POTEJ,0,0,0,
POU1F1,0,0,0,
NETO1,0,0,0,
NES,0,0,0,
NEPRO,0,0,0,
POLR2B,0,0,0,
POLR2A,0,0,0,
POLH,0,0,0,
NF1,0,0,0,
PNP,0,0,0,
PNPLA1,0,0,0,
NFX1,0,0,0,
PNPLA2,0,0,0,
NFE2L3,0,0,0,
NFE2L2,0,0,0,
PNPLA3,0,0,0,
P2RX1,0,0,0,
PNPLA6,0,0,0,
PNPT1,0,0,0,
PODXL,0,0,0,
POGLUT2,0,0,0,
POGZ,0,0,0,
NFE2L1,0,0,0,
POLB,0,0,0,
NFATC4,0,0,0,
POLD1,0,0,0,
NFATC3,0,0,0,
NFATC2,0,0,0,
POLDIP2,0,0,0,
NFATC1,0,0,0,
NFAT5,0,0,0,
NF2,0,0,0,
PLD2,0,0,0,
NMNAT1,0,0,0,
NMU,0,0,0,
NOTCH4,0,0,0,
NPAS4,0,0,0,
NOX4,0,0,0,
PHF23,0,0,0,
PHF6,0,0,0,
PHF7,0,0,0,
PHF8,0,0,0,
PHGDH,0,0,0,
NOX1,0,0,0,
PHLDA3,0,0,0,
PHLDB2,0,0,0,
PHLDB3,0,0,0,
PHLPP1,0,0,0,
PIK3C3,0,0,0,
PHOX2B,0,0,0,
NOTCH2NLA,0,0,0,
PI4KA,0,0,0,
PIBF1,0,0,0,
PICALM,0,0,0,
NOTCH2,0,0,0,
PIEZO1,0,0,0,
PIEZO2,0,0,0,
NOTCH1,0,0,0,
PIGF,0,0,0,
PIH1D1,0,0,0,
PHF21B,0,0,0,
PHF12,0,0,0,
PHF10,0,0,0,
PHEX,0,0,0,
PER1,0,0,0,
NPR3,0,0,0,
NPR1,0,0,0,
NPPC,0,0,0,
NPPB,0,0,0,
PFKP,0,0,0,
PGA3,0,0,0,
PGAM5,0,0,0,
PGAP1,0,0,0,
PGAP2,0,0,0,
PGBD1,0,0,0,
NPPA,0,0,0,
NPNT,0,0,0,
NPM3,0,0,0,
PGGT1B,0,0,0,
NPFFR2,0,0,0,
PGM1,0,0,0,
PGR,0,0,0,
PHB,0,0,0,
PHB2,0,0,0,
NPC1L1,0,0,0,
NPC1,0,0,0,
NPAT,0,0,0,
NOSTRIN,0,0,0,
PIK3CA,0,0,0,
NNAT,0,0,0,
PLA2R1,0,0,0,
PKD2L1,0,0,0,
PKHD1,0,0,0,
NOLC1,0,0,0,
PKIA,0,0,0,
PKNOX2,0,0,0,
NOL4L,0,0,0,
PKP2,0,0,0,
PLA2G4A,0,0,0,
NOL4,0,0,0,
PLA2G5,0,0,0,
PLA2G6,0,0,0,
PLAGL1,0,0,0,
PIK3CB,0,0,0,
PLAGL2,0,0,0,
NODAL,0,0,0,
PLAT,0,0,0,
PLAU,0,0,0,
NOD1,0,0,0,
PLCE1,0,0,0,
PLCG1,0,0,0,
PLCG2,0,0,0,
PLD1,0,0,0,
NOC3L,0,0,0,
NOA1,0,0,0,
PKD2,0,0,0,
PKD1L1,0,0,0,
NOM1,0,0,0,
PKD1,0,0,0,
NOS3,0,0,0,
PIK3CD,0,0,0,
PIK3CG,0,0,0,
PIK3R1,0,0,0,
PIK3R2,0,0,0,
NOS2,0,0,0,
PIKFYVE,0,0,0,
NOS1AP,0,0,0,
PILRA,0,0,0,
NOS1,0,0,0,
NORAD,0,0,0,
PIMREG,0,0,0,
PIN1,0,0,0,
PINK1,0,0,0,
PIP4K2A,0,0,0,
NOP2,0,0,0,
PITHD1,0,0,0,
PITPNB,0,0,0,
PITX1,0,0,0,
PITX2,0,0,0,
NONO,0,0,0,
PIWIL1,0,0,0,
NOMO3,0,0,0,
A2ML1,0,0,0,
SCIMP,0,0,0,
RBM34,0,0,0,
TNFSF4,0,0,0,
TNNI3,0,0,0,
TNMD,0,0,0,
TNKS,0,0,0,
TNK2,0,0,0,
TNIP1,0,0,0,
TNFSF9,0,0,0,
TNFSF18,0,0,0,
TNPO3,0,0,0,
TNFSF15,0,0,0,
TNFSF13B,0,0,0,
TNFSF12,0,0,0,
TNFSF11,0,0,0,
TNFRSF6B,0,0,0,
TNFRSF1B,0,0,0,
TNNT2,0,0,0,
TNR,0,0,0,
TP53BP2,0,0,0,
TOP2B,0,0,0,
TOX4,0,0,0,
TOX,0,0,0,
TOR3A,0,0,0,
TOR1A,0,0,0,
TOPBP1,0,0,0,
TOP3B,0,0,0,
TOP2A,0,0,0,
TOLLIP,0,0,0,
TOP1MT,0,0,0,
TOP1,0,0,0,
TONSL,0,0,0,
TOMM40,0,0,0,
TOMM34,0,0,0,
TOM1L2,0,0,0,
TNFRSF1A,0,0,0,
TNFRSF17,0,0,0,
TNFRSF14,0,0,0,
TMEM237,0,0,0,
TMEM9B,0,0,0,
TMEM98,0,0,0,
TMEM45B,0,0,0,
TMEM43,0,0,0,
TMEM39A,0,0,0,
TMEM33,0,0,0,
TMEM209,0,0,0,
TNFRSF13C,0,0,0,
TMEM201,0,0,0,
TMEM192,0,0,0,
TMEM185A,0,0,0,
TMEM173,0,0,0,
TMEM164,0,0,0,
TMEM14C,0,0,0,
TMIGD2,0,0,0,
TMPO,0,0,0,
TMPRSS11E,0,0,0,
TMPRSS13,0,0,0,
TMPRSS2,0,0,0,
TMPRSS6,0,0,0,
TMTC3,0,0,0,
TMTC4,0,0,0,
TMUB2,0,0,0,
TMX1,0,0,0,
TMX2,0,0,0,
TNFAIP8,0,0,0,
TNFRSF10B,0,0,0,
TNFRSF10C,0,0,0,
TNFRSF10D,0,0,0,
TNFRSF11B,0,0,0,
TNFRSF13B,0,0,0,
TP53BP1,0,0,0,
TP73,0,0,0,
SYNM,0,0,0,
TRPC7,0,0,0,
TRPM7,0,0,0,
TRPM6,0,0,0,
TRPM4,0,0,0,
TRPM3,0,0,0,
TRPM2,0,0,0,
TRPM1,0,0,0,
TRPC6,0,0,0,
TRPV1,0,0,0,
TRPC5,0,0,0,
TRPC4,0,0,0,
TRPC3,0,0,0,
TRPC1,0,0,0,
TRPA1,0,0,0,
TRO,0,0,0,
TRPM8,0,0,0,
TRPV4,0,0,0,
TPBG,0,0,0,
TSHZ1,0,0,0,
TSPAN3,0,0,0,
TSPAN18,0,0,0,
TSPAN13,0,0,0,
TSPAN12,0,0,0,
TSPAN10,0,0,0,
TSNAXIP1,0,0,0,
TSHR,0,0,0,
TRPV6,0,0,0,
TSG101,0,0,0,
TSC2,0,0,0,
TSC1,0,0,0,
TSBP1,0,0,0,
TRUB1,0,0,0,
TRRAP,0,0,0,
TRMT2A,0,0,0,
TRMT1L,0,0,0,
TRIP13,0,0,0,
TRAF3IP3,0,0,0,
TRDC,0,0,0,
TRAP1,0,0,0,
TRAFD1,0,0,0,
TRAF6,0,0,0,
TRAF5,0,0,0,
TRAF4,0,0,0,
TRAF3,0,0,0,
TRIM67,0,0,0,
TRAF2,0,0,0,
TPTE,0,0,0,
TPMT,0,0,0,
TPH2,0,0,0,
TPH1,0,0,0,
TPCN1,0,0,0,
TREML2,0,0,0,
TREX1,0,0,0,
TREX2,0,0,0,
TRH,0,0,0,
TRHR,0,0,0,
TRIB1,0,0,0,
TRIB2,0,0,0,
TRIB3,0,0,0,
TRIM21,0,0,0,
TRIM23,0,0,0,
TRIM25,0,0,0,
TRIM27,0,0,0,
TRIM28,0,0,0,
TRIM5,0,0,0,
TRIM55,0,0,0,
TRIM65,0,0,0,
TRIM66,0,0,0,
TMEM130,0,0,0,
TMEM126A,0,0,0,
TMEM120B,0,0,0,
TC2N,0,0,0,
TCF4,0,0,0,
TCF21,0,0,0,
TCF20,0,0,0,
TCERG1L,0,0,0,
TCEANC2,0,0,0,
TCEANC,0,0,0,
TBXAS1,0,0,0,
TCIM,0,0,0,
TBXA2R,0,0,0,
TBX5,0,0,0,
TBX4,0,0,0,
TBX3,0,0,0,
TBX21,0,0,0,
TBX2,0,0,0,
TCFL5,0,0,0,
TCL1A,0,0,0,
TMEM119,0,0,0,
TEK,0,0,0,
TERF1,0,0,0,
TENT5B,0,0,0,
TELO2,0,0,0,
TEKT4,0,0,0,
TEKT3,0,0,0,
TEKT1,0,0,0,
TEFM,0,0,0,
TCOF1,0,0,0,
TECPR1,0,0,0,
TEC,0,0,0,
TDRD7,0,0,0,
TDRD3,0,0,0,
TDGF1,0,0,0,
TCP1,0,0,0,
TBX19,0,0,0,
TBX15,0,0,0,
TBRG4,0,0,0,
TAC3,0,0,0,
TADA2A,0,0,0,
TACR3,0,0,0,
TACR2,0,0,0,
TACR1,0,0,0,
TACC2,0,0,0,
TAC4,0,0,0,
TAC1,0,0,0,
TBR1,0,0,0,
TAB2,0,0,0,
TAB1,0,0,0,
SYVN1,0,0,0,
SYTL2,0,0,0,
SYT16,0,0,0,
SYP,0,0,0,
TAF1,0,0,0,
TAFA4,0,0,0,
TAFA5,0,0,0,
TAL1,0,0,0,
TAL2,0,0,0,
TANGO2,0,0,0,
TAP2,0,0,0,
TARDBP,0,0,0,
TAS2R38,0,0,0,
TASOR,0,0,0,
TBC1D22B,0,0,0,
TBC1D8B,0,0,0,
TBCK,0,0,0,
TBK1,0,0,0,
TBL1Y,0,0,0,
TBL2,0,0,0,
TBP,0,0,0,
TERF2,0,0,0,
TERT,0,0,0,
TESK2,0,0,0,
TINAGL1,0,0,0,
TKTL1,0,0,0,
TKT,0,0,0,
TK1,0,0,0,
TJP1,0,0,0,
TIRAP,0,0,0,
TIPARP,0,0,0,
TINAG,0,0,0,
TICRR,0,0,0,
TIMP4,0,0,0,
TIMP2,0,0,0,
TIMM50,0,0,0,
TIMM29,0,0,0,
TIMD4,0,0,0,
TIGD5,0,0,0,
TLE6,0,0,0,
TLK1,0,0,0,
TLK2,0,0,0,
TLR1,0,0,0,
TLR4,0,0,0,
TLR5,0,0,0,
TLR6,0,0,0,
TLR7,0,0,0,
TLR9,0,0,0,
TM4SF5,0,0,0,
TM6SF2,0,0,0,
TM9SF4,0,0,0,
TMA16,0,0,0,
TMBIM4,0,0,0,
TMEFF2,0,0,0,
TMEM100,0,0,0,
TMEM109,0,0,0,
TIE1,0,0,0,
TICAM2,0,0,0,
TET2,0,0,0,
TFPI,0,0,0,
TGFBR1,0,0,0,
TGFA,0,0,0,
TG,0,0,0,
TFRC,0,0,0,
TFR2,0,0,0,
TFPI2,0,0,0,
TFEB,0,0,0,
TICAM1,0,0,0,
TFE3,0,0,0,
TFAP2B,0,0,0,
TFAM,0,0,0,
TEX35,0,0,0,
TEX14,0,0,0,
TEX11,0,0,0,
TGFBR2,0,0,0,
TGM2,0,0,0,
TGM3,0,0,0,
TGM4,0,0,0,
TGM6,0,0,0,
TH,0,0,0,
THAP11,0,0,0,
THAP3,0,0,0,
THBS2,0,0,0,
THEM6,0,0,0,
THEMIS,0,0,0,
THEMIS2,0,0,0,
THPO,0,0,0,
THUMPD3,0,0,0,
THYN1,0,0,0,
TIAM1,0,0,0,
TIAM2,0,0,0,
TSPAN31,0,0,0,
TSPAN7,0,0,0,
TSPAN9,0,0,0,
YIF1B,0,0,0,
YTHDF1,0,0,0,
YTHDC2,0,0,0,
YLPM1,0,0,0,
YJEFN3,0,0,0,
YIPF5,0,0,0,
YIPF1,0,0,0,
YAP1,0,0,0,
YWHAZ,0,0,0,
XRCC6,0,0,0,
XRCC5,0,0,0,
XRCC4,0,0,0,
XRCC3,0,0,0,
XRCC2,0,0,0,
XRCC1,0,0,0,
YTHDF3,0,0,0,
YY1,0,0,0,
WDR5,0,0,0,
ZBTB21,0,0,0,
ZBTB49,0,0,0,
ZBTB48,0,0,0,
ZBTB40,0,0,0,
ZBTB4,0,0,0,
ZBTB3,0,0,0,
ZBTB25,0,0,0,
ZBTB16,0,0,0,
YY1AP1,0,0,0,
ZBTB10,0,0,0,
ZBTB1,0,0,0,
ZBP1,0,0,0,
ZBED9,0,0,0,
ZAP70,0,0,0,
ZAN,0,0,0,
XPR1,0,0,0,
XPO7,0,0,0,
XPO6,0,0,0,
WFDC1,0,0,0,
WNT4,0,0,0,
WNT3A,0,0,0,
WNT3,0,0,0,
WNT2,0,0,0,
WNT1,0,0,0,
WFS1,0,0,0,
WEE2,0,0,0,
XPO5,0,0,0,
WEE1,0,0,0,
WDR90,0,0,0,
WDR81,0,0,0,
WDR77,0,0,0,
WDR74,0,0,0,
WDR72,0,0,0,
WRAP73,0,0,0,
WRN,0,0,0,
WT1,0,0,0,
WWC1,0,0,0,
WWOX,0,0,0,
WWP2,0,0,0,
WWTR1,0,0,0,
XBP1,0,0,0,
XCL2,0,0,0,
XDH,0,0,0,
XIAP,0,0,0,
XIRP1,0,0,0,
XPA,0,0,0,
XPC,0,0,0,
XPNPEP1,0,0,0,
XPNPEP3,0,0,0,
XPO1,0,0,0,
ZC2HC1A,0,0,0,
ZC3H18,0,0,0,
ZC3H7A,0,0,0,
ZNF408,0,0,0,
ZNF608,0,0,0,
ZNF592,0,0,0,
ZNF512,0,0,0,
ZNF451,0,0,0,
ZNF449,0,0,0,
ZNF410,0,0,0,
ZNF395,0,0,0,
ZNF177,0,0,0,
ZNF346,0,0,0,
ZNF341,0,0,0,
ZNF326,0,0,0,
ZNF296,0,0,0,
ZNF281,0,0,0,
ZNF280C,0,0,0,
ZNF639,0,0,0,
ZNF687,0,0,0,
ZNF76,0,0,0,
ZNF768,0,0,0,
ZNF8,0,0,0,
ZNF804A,0,0,0,
ZNF827,0,0,0,
ZNF829,0,0,0,
ZPR1,0,0,0,
ZSCAN1,0,0,0,
ZSCAN12,0,0,0,
ZSCAN16,0,0,0,
ZSCAN20,0,0,0,
ZSCAN26,0,0,0,
ZSWIM6,0,0,0,
ZUP1,0,0,0,
ZYG11B,0,0,0,
ZNF232,0,0,0,
ZNF165,0,0,0,
ZC3HAV1L,0,0,0,
ZDHHC22,0,0,0,
ZFHX4,0,0,0,
ZFAT,0,0,0,
ZFAND5,0,0,0,
ZER1,0,0,0,
ZEB2,0,0,0,
ZEB1,0,0,0,
ZDHHC17,0,0,0,
ZNF142,0,0,0,
ZCCHC8,0,0,0,
ZCCHC3,0,0,0,
ZCCHC2,0,0,0,
ZCCHC17,0,0,0,
ZCCHC10,0,0,0,
ZC4H2,0,0,0,
ZFP57,0,0,0,
ZFPL1,0,0,0,
ZFX,0,0,0,
ZFYVE1,0,0,0,
ZFYVE26,0,0,0,
ZGRF1,0,0,0,
ZHX3,0,0,0,
ZIC2,0,0,0,
ZIC4,0,0,0,
ZMIZ1,0,0,0,
ZMIZ2,0,0,0,
ZMPSTE24,0,0,0,
ZMYM1,0,0,0,
ZMYM3,0,0,0,
ZMYND10,0,0,0,
ZMYND19,0,0,0,
ZNF106,0,0,0,
WDR55,0,0,0,
WDR37,0,0,0,
TSPO,0,0,0,
UBE2I,0,0,0,
UBR5,0,0,0,
UBR3,0,0,0,
UBE4B,0,0,0,
UBE3A,0,0,0,
UBE2T,0,0,0,
UBE2L3,0,0,0,
UBE2D3,0,0,0,
UCA1,0,0,0,
UBE2D2,0,0,0,
UBE2D1,0,0,0,
UBE2C,0,0,0,
UBASH3B,0,0,0,
UBASH3A,0,0,0,
UBAP2L,0,0,0,
UBTF,0,0,0,
UCN,0,0,0,
WDR26,0,0,0,
UGT2B7,0,0,0,
UMPS,0,0,0,
UMOD,0,0,0,
ULK2,0,0,0,
ULK1,0,0,0,
ULBP2,0,0,0,
UHRF1,0,0,0,
UGT2B17,0,0,0,
UCP2,0,0,0,
UGT1A9,0,0,0,
UGT1A4,0,0,0,
UGT1A1,0,0,0,
UGDH,0,0,0,
UFC1,0,0,0,
UEVLD,0,0,0,
UBAP2,0,0,0,
UBA1,0,0,0,
U2AF2,0,0,0,
TTC23,0,0,0,
TTPA,0,0,0,
TTK,0,0,0,
TTI1,0,0,0,
TTC9C,0,0,0,
TTC4,0,0,0,
TTC23L,0,0,0,
TTC12,0,0,0,
U2AF1,0,0,0,
TSSK3,0,0,0,
TSSK1B,0,0,0,
TSSC4,0,0,0,
TSPYL5,0,0,0,
TSPY1,0,0,0,
TSPOAP1,0,0,0,
TUBB,0,0,0,
TUBB2B,0,0,0,
TUBB3,0,0,0,
TUBB4A,0,0,0,
TUBB6,0,0,0,
TUBD1,0,0,0,
TUBG1,0,0,0,
TUFM,0,0,0,
TUSC2,0,0,0,
TWIST1,0,0,0,
TWSG1,0,0,0,
TXNDC16,0,0,0,
TXNDC9,0,0,0,
TXNRD1,0,0,0,
TYK2,0,0,0,
TYMS,0,0,0,
TYRO3,0,0,0,
UNC119,0,0,0,
UNC13A,0,0,0,
UNC5A,0,0,0,
VLDLR,0,0,0,
VPS50,0,0,0,
VPS4A,0,0,0,
VPS37B,0,0,0,
VPS35,0,0,0,
VPS13B,0,0,0,
VPS13A,0,0,0,
VIPR2,0,0,0,
VEGFA,0,0,0,
VIPR1,0,0,0,
VIP,0,0,0,
VHL,0,0,0,
VGF,0,0,0,
VEGFD,0,0,0,
VEGFC,0,0,0,
VSIR,0,0,0,
VSNL1,0,0,0,
VSTM1,0,0,0,
VSTM2B,0,0,0,
VSX2,0,0,0,
VTCN1,0,0,0,
VWA8,0,0,0,
WAPL,0,0,0,
WASHC2A,0,0,0,
WASHC3,0,0,0,
WASHC4,0,0,0,
WASL,0,0,0,
WBP2,0,0,0,
WDFY3,0,0,0,
WDFY4,0,0,0,
WDHD1,0,0,0,
WDR12,0,0,0,
VEGFB,0,0,0,
VDAC2,0,0,0,
UNG,0,0,0,
URB1,0,0,0,
USP29,0,0,0,
USP27X,0,0,0,
USP11,0,0,0,
USP10,0,0,0,
USF1,0,0,0,
URGCP,0,0,0,
UQCC3,0,0,0,
VDAC1,0,0,0,
UQCC1,0,0,0,
UPK3B,0,0,0,
UPK3A,0,0,0,
UPK2,0,0,0,
UPK1A,0,0,0,
UPF1,0,0,0,
USP32,0,0,0,
USP38,0,0,0,
USP5,0,0,0,
USP53,0,0,0,
USP6,0,0,0,
USP7,0,0,0,
USP9Y,0,0,0,
UTP23,0,0,0,
UTRN,0,0,0,
UTS2,0,0,0,
VAMP5,0,0,0,
VAPB,0,0,0,
VAV1,0,0,0,
VAV3,0,0,0,
VAX1,0,0,0,
VCAM1,0,0,0,
VCL,0,0,0,
SYNRG,0,0,0,
SYNGR3,0,0,0,
RBMS1,0,0,0,
SDAD1,0,0,0,
SDK2,0,0,0,
SDHB,0,0,0,
SDHAF3,0,0,0,
SDHA,0,0,0,
SDF2L1,0,0,0,
SDC3,0,0,0,
SCRN1,0,0,0,
SEC14L3,0,0,0,
SCRIB,0,0,0,
SCPEP1,0,0,0,
SCNN1G,0,0,0,
SCNN1A,0,0,0,
SCN8A,0,0,0,
SCN3A,0,0,0,
SEC13,0,0,0,
SEC16A,0,0,0,
SEPTIN6,0,0,0,
SEMA3C,0,0,0,
SENP6,0,0,0,
SENP1,0,0,0,
SEMA7A,0,0,0,
SEMA4B,0,0,0,
SEMA3F,0,0,0,
SEMA3D,0,0,0,
SEMA3A,0,0,0,
SEC23B,0,0,0,
SELP,0,0,0,
SELENOT,0,0,0,
SELENBP1,0,0,0,
SELE,0,0,0,
SEL1L,0,0,0,
SECISBP2L,0,0,0,
SCIN,0,0,0,
MPP7,0,0,0,
SCGN,0,0,0,
SAA4,0,0,0,
SAMD5,0,0,0,
SAMD4A,0,0,0,
SALL4,0,0,0,
SAFB,0,0,0,
SACS,0,0,0,
SAC3D1,0,0,0,
S1PR5,0,0,0,
SCGB1D2,0,0,0,
S1PR3,0,0,0,
S1PR1,0,0,0,
S100A3,0,0,0,
S100A1,0,0,0,
RXFP3,0,0,0,
RXFP2,0,0,0,
SAMD9,0,0,0,
SAMHD1,0,0,0,
SAPCD2,0,0,0,
SART1,0,0,0,
SART3,0,0,0,
SAT2,0,0,0,
SATB1,0,0,0,
SATB2,0,0,0,
SAXO1,0,0,0,
SBNO1,0,0,0,
SCAF4,0,0,0,
SCAMP4,0,0,0,
SCAPER,0,0,0,
SCFD2,0,0,0,
SCG2,0,0,0,
SCG5,0,0,0,
SCGB1D1,0,0,0,
SEPTIN5,0,0,0,
SEPTIN9,0,0,0,
SYNCRIP,0,0,0,
SHH,0,0,0,
SIAE,0,0,0,
SHROOM1,0,0,0,
SHOX,0,0,0,
SHMT2,0,0,0,
SHLD2,0,0,0,
SHLD1,0,0,0,
SHC4,0,0,0,
SIGIRR,0,0,0,
SHC1,0,0,0,
SHBG,0,0,0,
SHARPIN,0,0,0,
SHANK3,0,0,0,
SH3TC2,0,0,0,
SH3GLB2,0,0,0,
SIAH1,0,0,0,
SIGLEC6,0,0,0,
SERPINA12,0,0,0,
SIRT1,0,0,0,
SKA3,0,0,0,
SIX1,0,0,0,
SIRT7,0,0,0,
SIRT6,0,0,0,
SIRT3,0,0,0,
SIRT2,0,0,0,
SIRPG,0,0,0,
SIGMAR1,0,0,0,
SIRPA,0,0,0,
SINHCAF,0,0,0,
SIN3A,0,0,0,
SIMC1,0,0,0,
SIK3,0,0,0,
SIK2,0,0,0,
SH3BP5L,0,0,0,
SH3BP5,0,0,0,
SH3BGRL2,0,0,0,
SERPINE1,0,0,0,
SETD4,0,0,0,
SESN3,0,0,0,
SESN2,0,0,0,
SERPINI2,0,0,0,
SERPINH1,0,0,0,
SERPINF2,0,0,0,
SERPIND1,0,0,0,
SH3BGR,0,0,0,
SERPINC1,0,0,0,
SERPINB7,0,0,0,
SERPINB5,0,0,0,
SERPINB2,0,0,0,
SERPINA9,0,0,0,
SERPINA3,0,0,0,
SETDB1,0,0,0,
SEZ6L,0,0,0,
SEZ6L2,0,0,0,
SF3A1,0,0,0,
SF3B1,0,0,0,
SF3B3,0,0,0,
SF3B4,0,0,0,
SFPQ,0,0,0,
SFRP1,0,0,0,
SFRP4,0,0,0,
SFRP5,0,0,0,
SFSWAP,0,0,0,
SFXN2,0,0,0,
SGCA,0,0,0,
SGSH,0,0,0,
SH2D1A,0,0,0,
SH2D1B,0,0,0,
RXFP1,0,0,0,
RWDD4,0,0,0,
RWDD1,0,0,0,
RHAG,0,0,0,
RHOA,0,0,0,
RHEB,0,0,0,
RHD,0,0,0,
RHCE,0,0,0,
RHBDD2,0,0,0,
RHBDD1,0,0,0,
RGS5,0,0,0,
RHOT1,0,0,0,
RGS4,0,0,0,
RGPD8,0,0,0,
RGPD6,0,0,0,
RGPD1,0,0,0,
RFX5,0,0,0,
RFX4,0,0,0,
RHOC,0,0,0,
RHOXF2,0,0,0,
RUVBL2,0,0,0,
RIPK2,0,0,0,
RLN1,0,0,0,
RLF,0,0,0,
RITA1,0,0,0,
RIPOR1,0,0,0,
RIPK4,0,0,0,
RIPK3,0,0,0,
RIPK1,0,0,0,
RIC8A,0,0,0,
RIOX1,0,0,0,
RIMS4,0,0,0,
RIMS3,0,0,0,
RILPL2,0,0,0,
RILPL1,0,0,0,
RIDA,0,0,0,
RFX1,0,0,0,
RFTN1,0,0,0,
RFPL3,0,0,0,
RCAN2,0,0,0,
RECK,0,0,0,
RDM1,0,0,0,
RCOR3,0,0,0,
RCOR1,0,0,0,
RCN2,0,0,0,
RCC1,0,0,0,
RC3H2,0,0,0,
RFC5,0,0,0,
RC3H1,0,0,0,
RBX1,0,0,0,
RBPMS,0,0,0,
RBMX,0,0,0,
RBMS3,0,0,0,
RBMS2,0,0,0,
RECQL,0,0,0,
RECQL4,0,0,0,
REEP4,0,0,0,
REEP6,0,0,0,
REL,0,0,0,
RELA,0,0,0,
RELN,0,0,0,
RELT,0,0,0,
REN,0,0,0,
REPS1,0,0,0,
